scenario,occasion,season,has_weather,ttft_ms,total_ms,output_chars,wardrobe_adherence,items_from_wardrobe,total_items_mentioned,has_exception,is_complete,has_top,has_bottom,has_shoes,weather_provided,mentions_weather,error
Business Casual Winter,Business Casual,Winter,False,11230.636358261108,17202.963829040527,1445,1.7142857142857142,12,7,False,True,True,True,True,False,,
Casual Spring,Casual,Spring,False,9968.568801879883,16491.047382354736,1149,0.8333333333333334,5,6,False,True,True,True,True,False,,
Date Night Clear Weather,Date Night,(None - Use Weather Only),True,11070.235967636108,17879.56213951111,1137,0.75,3,4,False,True,True,True,True,True,True,
Job Interview Rain,Job Interview,Fall,True,9304.279088973999,16504.995584487915,1959,1.7142857142857142,12,7,False,True,True,True,True,True,True,
Wedding Guest Summer,Wedding Guest,Summer,False,8172.353506088257,13866.18971824646,779,1.5,3,2,False,True,True,True,True,False,,
Gym Workout,Gym,Spring,False,7614.556789398193,13687.194108963013,1192,1.2,6,5,True,True,True,True,True,False,,
Casual Cold Snow,Casual,Winter,True,7903.456449508667,11986.164569854736,1121,1.1428571428571428,8,7,False,True,True,True,True,True,True,
Business Formal,Business Formal,Fall,False,7256.2010288238525,14407.217264175415,1831,0.8571428571428571,6,7,False,True,True,True,True,False,,
Brunch Spring,Brunch,Spring,False,7760.564565658569,14395.963430404663,1164,0.8571428571428571,6,7,False,True,True,True,True,False,,
Date Night Summer Hot,Date Night,Summer,True,12092.110395431519,17870.248794555664,1049,0.8,4,5,False,True,True,True,True,True,True,
Smart Casual Fall,Smart Casual,Fall,False,10348.24514389038,15016.092538833618,1388,1.6666666666666667,10,6,False,True,True,True,True,False,,
Cocktail Party Winter,Cocktail Party,Winter,False,14796.32830619812,21646.92783355713,1177,0.8333333333333334,5,6,True,True,True,True,True,False,,
Beach Vacation,Beach,Summer,True,13154.882431030273,19320.964813232422,1163,0.8,4,5,False,True,True,True,True,True,True,
Coffee Meeting Casual,Coffee Meeting,Spring,False,11025.787591934204,15730.595827102661,1284,0.8571428571428571,6,7,False,True,True,True,True,False,,
Dinner Party Fall,Dinner Party,Fall,True,10222.301721572876,15580.837488174438,1404,0.8333333333333334,5,6,False,True,True,True,True,True,True,
Job Interview Summer,Job Interview,Summer,False,10247.647762298584,15535.902976989746,924,1.6,8,5,False,True,True,True,True,False,,
Casual Winter Cold,Casual,Winter,True,7589.4646644592285,13491.109609603882,1580,1.0,9,9,False,True,True,True,True,True,True,
Business Casual Spring,Business Casual,Spring,False,8391.292095184326,12329.931020736694,874,1.6,8,5,False,True,True,True,True,False,,
Wedding Guest Fall,Wedding Guest,Fall,False,19747.579336166382,25427.879333496094,1112,0.75,3,4,True,True,True,True,True,False,,
Date Night Fall Cool,Date Night,Fall,True,13710.664510726929,19947.080373764038,1346,1.25,5,4,False,True,True,True,True,True,True,
